Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8183108587650816,0.6845425867507886,0.5817694369973191,0.6289855072463768,0.8608925854234165
CatBoost,0.8112136266855926,0.6742671009771987,0.5549597855227882,0.6088235294117647,0.8583901787655139
LightGBM,0.8041163946061036,0.6529968454258676,0.5549597855227882,0.6,0.8522208535613363
Random Forest,0.8055358410220014,0.6761565836298933,0.5093833780160858,0.581039755351682,0.8465095696999183
XGBoost,0.8005677785663591,0.6428571428571429,0.5549597855227882,0.5956834532374101,0.839142091152815
